file_name	chr	lows	ups
range_chr1_173109633_173792398.py	chr1	173109633	173792398
range_chr7_31955370_32658668.py	chr7	31955370	32658668
range_chr10_28954960_29636279.py	chr10	28954960	29636279
range_chr3_5119272_5843647.py	chr3	5119272	5843647
range_chr11_90270004_90950441.py	chr11	90270004	90950441
range_chr11_11334749_12017211.py	chr11	11334749	12017211
range_chr5_20052183_20752506.py	chr5	20052183	20752506
range_chr4_188808843_189489027.py	chr4	188808843	189489027
range_chr22_29419825_30102946.py	chr22	29419825	30102946
range_chr2_12992345_13694280.py	chr2	12992345	13694280
range_chr3_162125669_162806233.py	chr3	162125669	162806233
range_chr7_84308334_85009184.py	chr7	84308334	85009184
range_chr10_7768511_8472065.py	chr10	7768511	8472065
range_chr13_60516757_61198856.py	chr13	60516757	61198856
range_chr4_72344848_73046882.py	chr4	72344848	73046882
range_chr8_813036_1542167.py	chr8	813036	1542167
range_chr16_26293645_26974106.py	chr16	26293645	26974106
range_chr8_45441127_46200608.py	chr8	45441127	46200608
range_chr12_83744584_84425472.py	chr12	83744584	84425472
range_chr3_128096114_128777264.py	chr3	128096114	128777264
range_chr2_41801452_42505183.py	chr2	41801452	42505183
range_chr4_117433855_118113685.py	chr4	117433855	118113685
range_chr9_97956712_98662012.py	chr9	97956712	98662012
range_chrX_13331447_14035749.py	chrX	13331447	14035749
range_chr6_50322988_51025357.py	chr6	50322988	51025357
range_chr11_68328345_69009393.py	chr11	68328345	69009393
range_chr12_58512259_59193824.py	chr12	58512259	59193824
range_chr4_47460498_48163696.py	chr4	47460498	48163696
range_chr6_138807782_139488520.py	chr6	138807782	139488520
range_chr10_18730897_19411745.py	chr10	18730897	19411745
range_chr1_44273083_44978435.py	chr1	44273083	44978435
range_chrY_15913295_16621658.py	chrY	15913295	16621658
range_chr1_237849711_238530128.py	chr1	237849711	238530128
range_chr13_31873399_32555931.py	chr13	31873399	32555931
range_chr7_88519907_89221389.py	chr7	88519907	89221389
range_chr22_47820328_48499578.py	chr22	47820328	48499578
range_chr3_17219392_17922305.py	chr3	17219392	17922305
range_chr13_72779918_73462321.py	chr13	72779918	73462321
range_chr6_114337587_115016650.py	chr6	114337587	115016650
range_chr5_59562440_60262858.py	chr5	59562440	60262858
range_chr8_119357440_120037618.py	chr8	119357440	120037618
range_chr12_46881677_47563708.py	chr12	46881677	47563708
range_chr3_41792844_42495029.py	chr3	41792844	42495029
range_chr11_63544259_64227445.py	chr11	63544259	64227445
range_chr5_56051850_56754053.py	chr5	56051850	56754053
range_chr3_19327373_20030775.py	chr3	19327373	20030775
range_chr21_41478825_42159127.py	chr21	41478825	42159127
range_chr1_11095603_11798929.py	chr1	11095603	11798929
range_chrX_48747036_49634620.py	chrX	48747036	49634620
range_chr16_69484837_70167565.py	chr16	69484837	70167565
range_chr5_133617659_134297980.py	chr5	133617659	134297980
range_chr6_27800353_28506088.py	chr6	27800353	28506088
range_chr14_74363957_75047537.py	chr14	74363957	75047537
range_chr19_4317647_5021364.py	chr19	4317647	5021364
range_chr7_4393167_5119405.py	chr7	4393167	5119405
range_chr2_208657155_209338811.py	chr2	208657155	209338811
range_chr4_141238999_141918184.py	chr4	141238999	141918184
range_chr1_192840241_193520259.py	chr1	192840241	193520259
range_chr3_49536325_50242194.py	chr3	49536325	50242194
range_chr1_80830139_81531632.py	chr1	80830139	81531632
range_chr2_180736151_181416777.py	chr2	180736151	181416777
range_chr19_46967009_47648768.py	chr19	46967009	47648768
range_chr11_77295967_77979650.py	chr11	77295967	77979650
range_chrX_118472791_119154801.py	chrX	118472791	119154801
range_chr22_30102947_30785919.py	chr22	30102947	30785919
range_chr1_196236335_196914928.py	chr1	196236335	196914928
range_chrX_5447618_6173327.py	chrX	5447618	6173327
range_chr12_31060742_31743787.py	chr12	31060742	31743787
range_chr11_134174754_134834213.py	chr11	134174754	134834213
range_chr2_31967237_32670712.py	chr2	31967237	32670712
range_chr20_5032565_5737578.py	chr20	5032565	5737578
range_chr5_159474921_160154746.py	chr5	159474921	160154746
range_chr8_64453272_65156901.py	chr8	64453272	65156901
range_chr10_7066678_7768511.py	chr10	7066678	7768511
range_chr5_74337515_75040134.py	chr5	74337515	75040134
range_chr4_63923196_64624305.py	chr4	63923196	64624305
range_chr22_42376904_43057771.py	chr22	42376904	43057771
range_chr14_62755020_63437105.py	chr14	62755020	63437105
range_chr4_120835075_121515400.py	chr4	120835075	121515400
range_chr8_2265707_2991619.py	chr8	2265707	2991619
range_chr13_63242013_63923414.py	chr13	63242013	63923414
range_chr5_77854971_78557921.py	chr5	77854971	78557921
range_chr1_204401769_205082898.py	chr1	204401769	205082898
range_chr16_47659998_48341559.py	chr16	47659998	48341559
range_chr7_73068361_73773213.py	chr7	73068361	73773213
range_chr4_114717822_115396068.py	chr4	114717822	115396068
range_chr7_29146003_29848527.py	chr7	29146003	29848527
range_chr4_176585025_177264906.py	chr4	176585025	177264906
range_chr15_98558616_99240606.py	chr15	98558616	99240606
range_chr3_172322873_173003404.py	chr3	172322873	173003404
range_chr17_66890167_67571789.py	chr17	66890167	67571789
range_chr1_58347061_59049065.py	chr1	58347061	59049065
range_chr18_31212297_31894498.py	chr18	31212297	31894498
range_chr8_122075221_122754693.py	chr8	122075221	122754693
range_chr8_120716891_121395680.py	chr8	120716891	121395680
range_chr8_11655177_12409163.py	chr8	11655177	12409163
range_chr4_87101165_87805374.py	chr4	87101165	87805374
range_chr1_17525528_18225790.py	chr1	17525528	18225790
range_chr14_32048863_32732424.py	chr14	32048863	32732424
range_chr6_93681004_94381331.py	chr6	93681004	94381331
range_chr12_48932094_49617315.py	chr12	48932094	49617315
range_chr1_205764991_206446834.py	chr1	205764991	206446834
range_chr5_65889270_66593266.py	chr5	65889270	66593266
range_chr5_168981624_169660955.py	chr5	168981624	169660955
range_chr21_19006168_19686389.py	chr21	19006168	19686389
range_chr6_124535213_125214458.py	chr6	124535213	125214458
range_chr9_67363887_68373246.py	chr9	67363887	68373246
range_chr13_23013352_23695885.py	chr13	23013352	23695885
range_chr2_232473103_233154196.py	chr2	232473103	233154196
range_chr6_70497846_71201137.py	chr6	70497846	71201137
range_chr15_48722546_49406083.py	chr15	48722546	49406083
range_chr5_124775845_125455019.py	chr5	124775845	125455019
range_chr7_148793109_149474783.py	chr7	148793109	149474783
range_chr15_28926327_29606458.py	chr15	28926327	29606458
range_chr8_126154545_126833603.py	chr8	126154545	126833603
range_chr10_87404396_88087696.py	chr10	87404396	88087696
range_chr19_57215502_57898592.py	chr19	57215502	57898592
range_chr4_106552657_107232188.py	chr4	106552657	107232188
range_chr1_9677844_10391239.py	chr1	9677844	10391239
range_chr7_157634946_158315857.py	chr7	157634946	158315857
range_chr4_76559370_77262422.py	chr4	76559370	77262422
range_chr7_119506958_120186918.py	chr7	119506958	120186918
range_chr4_92719431_93418331.py	chr4	92719431	93418331
range_chr2_3670573_4396938.py	chr2	3670573	4396938
range_chrX_88576852_89282092.py	chrX	88576852	89282092
range_chr14_84591372_85271584.py	chr14	84591372	85271584
range_chr17_51194041_51876057.py	chr17	51194041	51876057
range_chr11_10652101_11334749.py	chr11	10652101	11334749
range_chr2_65001563_65706010.py	chr2	65001563	65706010
range_chr1_3871421_4597708.py	chr1	3871421	4597708
range_chrY_18747386_19456518.py	chrY	18747386	19456518
range_chr2_142581989_143262207.py	chr2	142581989	143262207
range_chr6_64186174_64886641.py	chr6	64186174	64886641
range_chr4_160276965_160956202.py	chr4	160276965	160956202
range_chr8_32735790_33438367.py	chr8	32735790	33438367
range_chr18_67388928_68069694.py	chr18	67388928	68069694
range_chr15_43261430_43946122.py	chr15	43261430	43946122
range_chr6_6625601_7351164.py	chr6	6625601	7351164
range_chr4_140559298_141238998.py	chr4	140559298	141238998
range_chr5_40408804_41112055.py	chr5	40408804	41112055
range_chrX_133539690_134222547.py	chrX	133539690	134222547
range_chr5_61670085_62373158.py	chr5	61670085	62373158
range_chrX_75894927_76598578.py	chrX	75894927	76598578
range_chr10_103683416_104345240.py	chr10	103683416	104345240
range_chr10_35771481_36452477.py	chr10	35771481	36452477
range_chr10_20772186_21453026.py	chr10	20772186	21453026
range_chr6_90877593_91579104.py	chr6	90877593	91579104
range_chr19_31254537_31935407.py	chr19	31254537	31935407
range_chr3_153278828_153959287.py	chr3	153278828	153959287
range_chrX_9079149_9805168.py	chrX	9079149	9805168
range_chr3_135584275_136266011.py	chr3	135584275	136266011
range_chr1_93498151_94201783.py	chr1	93498151	94201783
range_chr10_60798789_61479961.py	chr10	60798789	61479961
range_chr3_65695644_66397504.py	chr3	65695644	66397504
range_chr15_78059050_78741569.py	chr15	78059050	78741569
range_chr9_5136010_5864315.py	chr9	5136010	5864315
range_chr3_59387752_60087440.py	chr3	59387752	60087440
range_chr8_77805776_78508005.py	chr8	77805776	78508005
range_chr20_56008132_56690121.py	chr20	56008132	56690121
range_chr5_43220070_43923354.py	chr5	43220070	43923354
range_chr9_117123132_117803826.py	chr9	117123132	117803826
range_chr20_12009990_12690880.py	chr20	12009990	12690880
range_chr3_46717093_47422304.py	chr3	46717093	47422304
range_chr7_149474783_150155561.py	chr7	149474783	150155561
range_chr12_122587920_123249192.py	chr12	122587920	123249192
range_chr5_121376919_122055989.py	chr5	121376919	122055989
range_chr11_26337315_27019155.py	chr11	26337315	27019155
range_chr6_136768568_137448709.py	chr6	136768568	137448709
range_chr8_87684467_88385895.py	chr8	87684467	88385895
range_chrX_72369645_73076073.py	chrX	72369645	73076073
range_chr5_27762443_28464035.py	chr5	27762443	28464035
range_chr8_44729816_45441127.py	chr8	44729816	45441127
range_chr7_105228975_105909731.py	chr7	105228975	105909731
range_chr6_132011305_132691023.py	chr6	132011305	132691023
range_chr5_81371758_82075016.py	chr5	81371758	82075016
range_chr14_35465322_36148908.py	chr14	35465322	36148908
range_chr5_162190831_162869932.py	chr5	162190831	162869932
range_chr4_8766063_9561923.py	chr4	8766063	9561923
range_chr11_29066171_29746963.py	chr11	29066171	29746963
range_chr16_89882602_90228345.py	chr16	89882602	90228345
range_chr7_109990615_110669566.py	chr7	109990615	110669566
range_chr3_160764619_161445364.py	chr3	160764619	161445364
range_chr4_180657705_181335220.py	chr4	180657705	181335220
range_chr2_40400120_41100909.py	chr2	40400120	41100909
range_chr6_140848237_141527950.py	chr6	140848237	141527950
range_chr1_21037826_21741563.py	chr1	21037826	21741563
range_chr22_47139311_47820328.py	chr22	47139311	47820328
range_chr5_126815057_127495015.py	chr5	126815057	127495015
range_chr11_19529734_20211872.py	chr11	19529734	20211872
range_chr14_49103406_49785990.py	chr14	49103406	49785990
range_chr6_125894211_126575555.py	chr6	125894211	126575555
range_chr4_81477353_82179141.py	chr4	81477353	82179141
range_chr12_38695689_39377155.py	chr12	38695689	39377155
range_chr16_12600148_13279380.py	chr16	12600148	13279380
range_chr19_8544819_9250608.py	chr19	8544819	9250608
range_chr16_51749907_52430863.py	chr16	51749907	52430863
range_chr2_140546673_141224885.py	chr2	140546673	141224885
range_chr1_54839241_55541883.py	chr1	54839241	55541883
range_chr7_144723971_145403474.py	chr7	144723971	145403474
range_chr3_46013067_46717093.py	chr3	46013067	46717093
range_chr5_176460675_177141977.py	chr5	176460675	177141977
range_chr5_174419755_175099100.py	chr5	174419755	175099100
range_chr13_65966569_66647679.py	chr13	65966569	66647679
range_chr15_37117188_37799937.py	chr15	37117188	37799937
range_chr1_85045408_85750009.py	chr1	85045408	85750009
range_chr11_56720341_57401883.py	chr11	56720341	57401883
range_chr1_176516797_177196337.py	chr1	176516797	177196337
range_chr2_167777659_168458320.py	chr2	167777659	168458320
range_chr10_122841564_123503281.py	chr10	122841564	123503281
range_chr10_73765796_74449609.py	chr10	73765796	74449609
range_chrX_152690702_153373596.py	chrX	152690702	153373596
range_chr4_154161760_154841789.py	chr4	154161760	154841789
range_chr5_79964688_80668876.py	chr5	79964688	80668876
range_chr15_71231866_71913237.py	chr15	71231866	71913237
range_chrX_31652841_32355133.py	chrX	31652841	32355133
range_chr20_5737578_6442825.py	chr20	5737578	6442825
range_chr4_22189106_22890208.py	chr4	22189106	22890208
range_chrX_80120599_80826431.py	chrX	80120599	80826431
range_chr6_7351165_8077935.py	chr6	7351165	8077935
range_chr3_21436869_22137255.py	chr3	21436869	22137255
range_chr6_31331732_32040037.py	chr6	31331732	32040037
range_chr2_19308818_20011926.py	chr2	19308818	20011926
range_chr17_71661436_72342390.py	chr17	71661436	72342390
range_chr14_106198852_106862160.py	chr14	106198852	106862160
range_chr3_177754640_178432666.py	chr3	177754640	178432666
range_chr16_74944135_75625609.py	chr16	74944135	75625609
range_chr4_151441373_152120535.py	chr4	151441373	152120535
range_chr14_57294125_57976420.py	chr14	57294125	57976420
range_chr1_101868533_102547872.py	chr1	101868533	102547872
range_chr4_38330893_39034219.py	chr4	38330893	39034219
range_chr14_30682115_31365360.py	chr14	30682115	31365360
range_chr2_171185772_171868766.py	chr2	171185772	171868766
range_chr16_61981477_62663200.py	chr16	61981477	62663200
range_chr12_96700845_97383234.py	chr12	96700845	97383234
range_chr10_66937131_67618933.py	chr10	66937131	67618933
range_chr1_216656195_217335474.py	chr1	216656195	217335474
range_chr17_47088212_47771880.py	chr17	47088212	47771880
range_chr13_62560816_63242012.py	chr13	62560816	63242012
range_chr1_199634098_200314435.py	chr1	199634098	200314435
range_chr9_71192051_71895989.py	chr9	71192051	71895989
range_chrX_64621517_65325773.py	chrX	64621517	65325773
range_chr7_94848855_95551950.py	chr7	94848855	95551950
range_chr19_791198_1502853.py	chr19	791198	1502853
range_chr7_102504546_103187681.py	chr7	102504546	103187681
range_chr1_166297046_166978978.py	chr1	166297046	166978978
range_chr11_124930011_125591749.py	chr11	124930011	125591749
range_chr2_230428368_231109708.py	chr2	230428368	231109708
range_chr9_90206420_90909464.py	chr9	90206420	90909464
range_chr5_180549276_181231963.py	chr5	180549276	181231963
range_chr6_101410687_102088773.py	chr6	101410687	102088773
range_chr11_4321462_5026214.py	chr11	4321462	5026214
range_chrX_112146046_112827347.py	chrX	112146046	112827347
range_chr6_65586736_66289388.py	chr6	65586736	66289388
range_chr4_20089639_20789994.py	chr4	20089639	20789994
range_chr10_124823210_125483699.py	chr10	124823210	125483699
range_chr4_79371516_80073879.py	chr4	79371516	80073879
range_chr11_42699717_43381852.py	chr11	42699717	43381852
range_chr5_113231498_113912237.py	chr5	113231498	113912237
range_chr6_74714152_75416592.py	chr6	74714152	75416592
range_chr1_118878365_119557899.py	chr1	118878365	119557899
range_chr5_63075939_63777846.py	chr5	63075939	63777846
range_chr18_65348209_66028122.py	chr18	65348209	66028122
range_chr3_113802747_114484656.py	chr3	113802747	114484656
range_chr18_20982335_21665220.py	chr18	20982335	21665220
range_chr3_88828172_89527363.py	chr3	88828172	89527363
range_chr4_5142902_5867803.py	chr4	5142902	5867803
range_chr5_124096155_124775845.py	chr5	124096155	124775845
range_chr4_89914346_90615321.py	chr4	89914346	90615321
range_chr18_48988532_49670757.py	chr18	48988532	49670757
range_chr8_70076673_70780353.py	chr8	70076673	70780353
range_chr3_102247372_102926010.py	chr3	102247372	102926010
range_chr1_42863146_43568143.py	chr1	42863146	43568143
range_chr2_141903293_142581988.py	chr2	141903293	142581988
range_chr12_89878270_90560057.py	chr12	89878270	90560057
range_chr6_58047059_58853943.py	chr6	58047059	58853943
range_chr1_89973341_90677544.py	chr1	89973341	90677544
range_chr11_48159311_48839003.py	chr11	48159311	48839003
range_chrX_61751498_62512720.py	chrX	61751498	62512720
range_chr6_97941250_98643566.py	chr6	97941250	98643566
range_chr10_2152326_2853504.py	chr10	2152326	2853504
range_chr19_38770354_39453532.py	chr19	38770354	39453532
range_chr2_96859587_97614846.py	chr2	96859587	97614846
range_chr4_186091101_186770912.py	chr4	186091101	186770912
range_chr1_87861909_88565627.py	chr1	87861909	88565627
range_chr12_98748754_99431098.py	chr12	98748754	99431098
range_chr6_46815542_47516794.py	chr6	46815542	47516794
range_chr20_2915696_3621654.py	chr20	2915696	3621654
range_chr9_72600475_73304542.py	chr9	72600475	73304542
range_chr4_61120768_61820666.py	chr4	61120768	61820666
range_chr2_20011926_20714774.py	chr2	20011926	20714774
range_chr8_144477185_145078636.py	chr8	144477185	145078636
range_chr14_47741012_48422338.py	chr14	47741012	48422338
range_chr17_55284139_55965887.py	chr17	55284139	55965887
range_chr12_16053440_16736100.py	chr12	16053440	16736100
range_chr5_148592805_149271722.py	chr5	148592805	149271722
range_chr1_114117214_114798901.py	chr1	114117214	114798901
range_chr1_241926846_242606942.py	chr1	241926846	242606942
range_chr6_83844931_84546935.py	chr6	83844931	84546935
range_chrX_99154913_99860077.py	chrX	99154913	99860077
range_chr1_99821620_100509182.py	chr1	99821620	100509182
range_chr12_56458629_57142991.py	chr12	56458629	57142991
range_chr8_134294777_134973381.py	chr8	134294777	134973381
range_chr4_13775492_14475472.py	chr4	13775492	14475472
range_chr3_109039393_109720528.py	chr3	109039393	109720528
range_chr18_60578629_61259631.py	chr18	60578629	61259631
range_chr20_18143936_18826655.py	chr20	18143936	18826655
range_chr7_113389163_114069660.py	chr7	113389163	114069660
range_chr6_48919406_49621680.py	chr6	48919406	49621680
range_chr2_110618274_111298957.py	chr2	110618274	111298957
range_chr4_30602386_31302145.py	chr4	30602386	31302145
range_chr19_55163172_55846439.py	chr19	55163172	55846439
range_chr4_131043434_131723752.py	chr4	131043434	131723752
range_chr6_81037253_81737861.py	chr6	81037253	81737861
range_chr2_207975169_208657154.py	chr2	207975169	208657154
range_chr5_41813800_42516528.py	chr5	41813800	42516528
range_chr7_155597461_156275556.py	chr7	155597461	156275556
range_chr12_77609960_78291061.py	chr12	77609960	78291061
range_chr2_66409640_67114029.py	chr2	66409640	67114029
range_chr5_168301981_168981624.py	chr5	168301981	168981624
range_chr5_43923354_44625505.py	chr5	43923354	44625505
range_chr7_131752432_132430159.py	chr7	131752432	132430159
range_chr7_32658668_33362732.py	chr7	32658668	33362732
range_chr12_49617315_50301607.py	chr12	49617315	50301607
range_chr1_220056163_220736960.py	chr1	220056163	220736960
range_chr4_19389237_20089639.py	chr4	19389237	20089639
range_chr20_41009883_41693928.py	chr20	41009883	41693928
range_chr10_67618933_68302364.py	chr10	67618933	68302364
range_chr15_95830692_96513310.py	chr15	95830692	96513310
range_chr1_113434805_114117214.py	chr1	113434805	114117214
range_chr13_27101286_27783365.py	chr13	27101286	27783365
range_chr2_152796684_153478107.py	chr2	152796684	153478107
range_chr19_44233578_44917548.py	chr19	44233578	44917548
range_chrX_125351289_126034739.py	chrX	125351289	126034739
range_chr8_70780353_71482878.py	chr8	70780353	71482878
range_chr4_127640552_128322564.py	chr4	127640552	128322564
range_chr5_118660948_119341084.py	chr5	118660948	119341084
range_chrX_116388323_117109017.py	chrX	116388323	117109017
range_chr8_93302815_94005903.py	chr8	93302815	94005903
range_chr2_22118781_22820225.py	chr2	22118781	22820225
range_chr2_225668678_226348140.py	chr2	225668678	226348140
range_chr11_21574815_22255458.py	chr11	21574815	22255458
range_chr6_161912866_162590204.py	chr6	161912866	162590204
range_chr22_44418676_45098788.py	chr22	44418676	45098788
range_chr12_124570065_125230072.py	chr12	124570065	125230072
range_chr1_23853263_24557111.py	chr1	23853263	24557111
range_chr8_13110649_13809444.py	chr8	13110649	13809444
range_chr9_98662012_99366812.py	chr9	98662012	99366812
range_chr20_40327928_41009882.py	chr20	40327928	41009882
range_chr12_53036205_53721065.py	chr12	53036205	53721065
range_chr3_161445364_162125668.py	chr3	161445364	162125668
range_chr2_72040830_72745721.py	chr2	72040830	72745721
range_chr20_42375589_43056385.py	chr20	42375589	43056385
range_chr18_3572243_4275999.py	chr18	3572243	4275999
range_chr7_94144773_94848855.py	chr7	94144773	94848855
range_chr19_10641768_11323183.py	chr19	10641768	11323183
range_chr16_26974106_27654899.py	chr16	26974106	27654899
range_chr1_246006447_246686764.py	chr1	246006447	246686764
range_chr13_100746707_101406816.py	chr13	100746707	101406816
range_chr9_130088508_130770800.py	chr9	130088508	130770800
range_chr4_99035990_99740444.py	chr4	99035990	99740444
range_chr21_14919173_15600620.py	chr21	14919173	15600620
range_chr8_36944272_37644863.py	chr8	36944272	37644863
range_chr3_79717756_80417679.py	chr3	79717756	80417679
range_chr2_233834672_234513059.py	chr2	233834672	234513059
range_chr1_36525645_37226992.py	chr1	36525645	37226992
range_chrX_142410708_143092218.py	chrX	142410708	143092218
range_chrX_38873642_39577924.py	chrX	38873642	39577924
range_chr8_59539279_60241261.py	chr8	59539279	60241261
range_chr18_27806196_28488400.py	chr18	27806196	28488400
range_chr20_34183323_34866630.py	chr20	34183323	34866630
range_chr11_53893537_54680022.py	chr11	53893537	54680022
range_chr11_1502945_2207249.py	chr11	1502945	2207249
range_chr4_182692089_183372249.py	chr4	182692089	183372249
range_chr15_67821114_68503606.py	chr15	67821114	68503606
range_chr13_22332031_23013352.py	chr13	22332031	23013352
range_chr5_147912772_148592804.py	chr5	147912772	148592804
range_chr7_38275297_38977560.py	chr7	38275297	38977560
range_chr6_66990091_67691537.py	chr6	66990091	67691537
range_chr19_22254764_22941236.py	chr19	22254764	22941236
range_chr5_137019391_137698148.py	chr5	137019391	137698148
range_chr12_115316506_115976478.py	chr12	115316506	115976478
range_chr8_10955443_11655177.py	chr8	10955443	11655177
range_chr17_15451914_16134190.py	chr17	15451914	16134190
range_chr10_70350644_71033039.py	chr10	70350644	71033039
range_chr2_122183384_122862184.py	chr2	122183384	122862184
range_chr16_37499234_38187606.py	chr16	37499234	38187606
range_chr1_52023310_52727846.py	chr1	52023310	52727846
range_chr12_64647581_65330451.py	chr12	64647581	65330451
range_chr18_45527454_46209868.py	chr18	45527454	46209868
range_chr7_25630255_26333017.py	chr7	25630255	26333017
range_chr3_110400257_111080581.py	chr3	110400257	111080581
range_chr17_3656816_4361705.py	chr17	3656816	4361705
range_chr12_90560058_91241199.py	chr12	90560058	91241199
range_chr13_58469191_59151739.py	chr13	58469191	59151739
range_chr1_15362394_16066718.py	chr1	15362394	16066718
range_chr2_182096971_182777739.py	chr2	182096971	182777739
range_chr1_32302218_33006822.py	chr1	32302218	33006822
range_chr14_25227000_25909152.py	chr14	25227000	25909152
