ENSG ID	predispo_cancer	azoospermia
ENSG00000150637	1	0
ENSG00000174059	1	0
ENSG00000140326	1	0
ENSG00000081377	1	0
ENSG00000117399	1	0
ENSG00000164045	1	0
ENSG00000105401	1	0
ENSG00000070831	1	0
ENSG00000093009	1	0
ENSG00000096401	1	0
ENSG00000097046	1	0
ENSG00000134371	1	0
ENSG00000146670	1	0
ENSG00000039068	1	0
ENSG00000040731	1	0
ENSG00000170312	1	0
ENSG00000248333	1	0
ENSG00000123374	1	1
ENSG00000135446	1	1
ENSG00000136861	1	0
ENSG00000277273	1	0
ENSG00000136807	1	0
ENSG00000124762	1	0
ENSG00000111276	1	0
ENSG00000147889	1	0
ENSG00000147883	1	0
ENSG00000123080	1	0
ENSG00000129355	1	0
ENSG00000237123	1	0
ENSG00000165556	1	0
ENSG00000079385	1	0
ENSG00000245848	1	0
ENSG00000153879	1	0
ENSG00000151849	1	0
ENSG00000175279	1	0
ENSG00000169689	1	0
ENSG00000103995	1	0
ENSG00000110274	1	0
ENSG00000166037	1	0
ENSG00000182923	1	1
ENSG00000143418	1	0
ENSG00000177143	1	0
ENSG00000147400	1	0
ENSG00000164430	1	0
ENSG00000167670	1	0
ENSG00000159259	1	0
ENSG00000131778	1	0
ENSG00000173575	1	0
ENSG00000149554	1	0
ENSG00000183765	1	0
ENSG00000072609	1	0
ENSG00000110172	1	0
ENSG00000101204	1	0
ENSG00000213341	1	0
ENSG00000185043	1	1
ENSG00000100865	1	0
ENSG00000148337	1	0
ENSG00000123975	0	1
ENSG00000114859	0	1
ENSG00000013297	0	1
ENSG00000125656	0	1
ENSG00000092853	1	0
ENSG00000141367	1	0
ENSG00000149646	0	1
ENSG00000113300	1	0
ENSG00000184144	1	0
ENSG00000108821	1	0
ENSG00000173163	1	0
ENSG00000143207	1	0
ENSG00000166200	1	0
ENSG00000141030	1	0
ENSG00000138663	1	0
ENSG00000121022	1	0
ENSG00000168090	1	0
ENSG00000111652	1	0
ENSG00000144524	1	0
ENSG00000198612	1	0
ENSG00000005339	1	0
ENSG00000167193	1	0
ENSG00000099942	1	0
ENSG00000009307	1	0
ENSG00000100368	1	0
ENSG00000119535	1	0
ENSG00000213923	1	0
ENSG00000178971	1	0
ENSG00000168036	1	0
ENSG00000198561	1	0
ENSG00000100448	1	0
ENSG00000107874	1	0
ENSG00000139842	1	1
ENSG00000158290	1	0
ENSG00000112659	1	0
ENSG00000180871	1	0
ENSG00000186810	1	0
ENSG00000121966	1	0
ENSG00000172215	1	0
ENSG00000172115	1	0
ENSG00000161544	1	0
ENSG00000083799	1	0
ENSG00000137869	1	0
ENSG00000122783	1	0
ENSG00000115165	1	0
ENSG00000187323	1	0
ENSG00000198924	1	0
ENSG00000118655	1	0
ENSG00000152457	1	0
ENSG00000172795	1	0
ENSG00000167986	1	0
ENSG00000134574	1	0
ENSG00000079785	1	0
ENSG00000013573	1	0
ENSG00000183258	1	0
ENSG00000107201	1	0
ENSG00000124795	1	0
ENSG00000077044	1	0
ENSG00000139549	0	1
ENSG00000281763	1	0
ENSG00000135829	1	0
ENSG00000100697	1	0
ENSG00000130826	1	0
ENSG00000178028	1	0
ENSG00000100206	1	1
ENSG00000137090	0	1
ENSG00000142025	0	1
ENSG00000135164	1	0
ENSG00000138346	1	0
ENSG00000256453	1	0
ENSG00000079805	1	0
ENSG00000130816	1	0
ENSG00000119772	0	1
ENSG00000142182	0	1
ENSG00000107447	1	0
ENSG00000115325	1	0
ENSG00000147443	1	0
ENSG00000146094	1	0
ENSG00000104885	1	0
ENSG00000108963	1	0
ENSG00000149295	1	0
ENSG00000151577	1	0
ENSG00000069696	1	0
ENSG00000143476	1	0
ENSG00000047579	1	0
ENSG00000163840	1	0
ENSG00000138166	1	0
ENSG00000101412	1	0
ENSG00000145088	1	0
ENSG00000156508	1	0
ENSG00000124802	1	0
ENSG00000122547	1	0
ENSG00000169242	1	0
ENSG00000146648	1	0
ENSG00000120738	1	0
ENSG00000110047	0	1
ENSG00000232045	0	1
ENSG00000255150	1	0
ENSG00000172071	1	0
ENSG00000130741	0	1
ENSG00000151247	1	0
ENSG00000187840	1	0
ENSG00000075151	0	1
ENSG00000197561	1	0
ENSG00000066044	1	0
ENSG00000126767	1	0
ENSG00000154920	1	0
ENSG00000197774	1	0
ENSG00000158636	1	0
ENSG00000173818	1	0
ENSG00000187097	1	0
ENSG00000163508	1	0
ENSG00000100393	1	0
ENSG00000135999	1	0
ENSG00000119888	1	0
ENSG00000142627	1	0
ENSG00000112425	1	0
ENSG00000187266	1	0
ENSG00000141736	1	0
ENSG00000178568	1	0
ENSG00000012061	1	0
ENSG00000104884	1	0
ENSG00000163161	1	0
ENSG00000175595	1	0
ENSG00000134899	1	0
ENSG00000225830	1	0
ENSG00000182150	1	0
ENSG00000049167	1	0
ENSG00000116285	1	0
ENSG00000171320	1	0
ENSG00000135476	1	0
ENSG00000091831	1	0
ENSG00000140009	1	0
ENSG00000143971	1	0
ENSG00000157557	1	0
ENSG00000244405	0	1
ENSG00000139083	1	0
ENSG00000081177	1	0
ENSG00000174371	1	0
ENSG00000164002	1	0
ENSG00000171824	1	0
ENSG00000182197	1	0
ENSG00000151348	1	0
ENSG00000104313	1	0
ENSG00000064655	1	0
ENSG00000158161	1	0
ENSG00000112319	1	0
ENSG00000106462	1	0
ENSG00000092820	1	0
ENSG00000117525	1	0
ENSG00000185504	1	0
ENSG00000162585	1	0
ENSG00000131944	1	0
ENSG00000134824	0	1
ENSG00000103876	1	0
ENSG00000054965	1	0
ENSG00000188343	1	0
ENSG00000198690	1	0
ENSG00000187741	1	1
ENSG00000181544	1	0
ENSG00000158169	1	0
ENSG00000144554	1	0
ENSG00000112039	1	0
ENSG00000183161	1	1
ENSG00000221829	1	0
ENSG00000140525	1	0
ENSG00000115392	1	0
ENSG00000187790	1	1
ENSG00000026103	1	0
ENSG00000117560	1	0
ENSG00000083857	1	0
ENSG00000134452	1	0
ENSG00000151876	1	0
ENSG00000116663	1	0
ENSG00000109670	1	0
ENSG00000141965	1	0
ENSG00000168496	1	0
ENSG00000151422	1	0
ENSG00000182511	1	0
ENSG00000070193	1	0
ENSG00000102678	1	0
ENSG00000066468	1	0
ENSG00000000938	1	0
ENSG00000091483	1	0
ENSG00000189283	1	0
ENSG00000182263	1	0
ENSG00000132436	1	0
ENSG00000261308	1	0
ENSG00000077800	0	1
ENSG00000154803	1	0
ENSG00000151702	1	0
ENSG00000122025	1	0
ENSG00000155816	1	0
ENSG00000110195	1	0
ENSG00000175592	1	0
ENSG00000075426	1	0
ENSG00000111206	1	0
ENSG00000109101	1	0
ENSG00000150907	1	0
ENSG00000118689	1	0
ENSG00000049768	0	1
ENSG00000171049	1	0
ENSG00000170820	1	0
ENSG00000140718	1	0
ENSG00000089280	1	0
ENSG00000082074	1	0
ENSG00000010810	1	0
ENSG00000105325	1	0
ENSG00000145907	1	0
ENSG00000131482	1	0
ENSG00000141349	1	0
ENSG00000033327	1	0
ENSG00000116717	1	0
ENSG00000128242	0	1
ENSG00000109534	1	0
ENSG00000184502	1	0
ENSG00000102145	1	0
ENSG00000179348	1	0
ENSG00000178295	1	0
ENSG00000127554	1	0
ENSG00000162676	1	0
ENSG00000179168	1	0
ENSG00000131153	1	0
ENSG00000147536	1	0
ENSG00000152661	0	1
ENSG00000139278	1	0
ENSG00000182512	1	0
ENSG00000114353	1	0
ENSG00000163938	1	0
ENSG00000130119	1	0
ENSG00000124713	1	0
ENSG00000116906	0	1
ENSG00000090615	0	1
ENSG00000116580	1	0
ENSG00000185245	1	0
ENSG00000203618	1	0
ENSG00000169704	1	0
ENSG00000143167	1	0
ENSG00000147257	1	0
ENSG00000013588	1	0
ENSG00000169727	1	0
ENSG00000116157	1	0
ENSG00000154016	1	0
ENSG00000106070	1	0
ENSG00000177885	1	0
ENSG00000141738	1	0
ENSG00000166923	1	0
ENSG00000158055	1	0
ENSG00000152822	1	0
ENSG00000105723	1	0
ENSG00000082701	1	0
ENSG00000084207	1	0
ENSG00000165417	0	1
ENSG00000110768	1	0
ENSG00000276910	1	0
ENSG00000183474	1	0
ENSG00000111358	1	0
ENSG00000221974	1	0
ENSG00000272047	1	0
ENSG00000172432	1	0
ENSG00000104812	1	0
ENSG00000188486	1	0
ENSG00000163041	1	0
ENSG00000275714	1	0
ENSG00000197837	1	0
ENSG00000085382	1	0
ENSG00000143575	1	0
ENSG00000101336	1	0
ENSG00000099822	0	1
ENSG00000100429	1	0
ENSG00000147099	1	0
ENSG00000127311	1	0
ENSG00000163312	1	0
ENSG00000181333	1	0
ENSG00000277278	1	0
ENSG00000019991	1	0
ENSG00000177374	1	0
ENSG00000172273	1	0
ENSG00000169567	1	0
ENSG00000127946	1	0
ENSG00000181218	1	0
ENSG00000168148	1	0
ENSG00000127124	1	0
ENSG00000147421	1	0
ENSG00000137309	1	1
ENSG00000149948	1	1
ENSG00000189403	1	0
ENSG00000164104	1	0
ENSG00000205581	1	0
ENSG00000135100	1	0
ENSG00000135486	1	0
ENSG00000122566	1	0
ENSG00000092199	1	0
ENSG00000138668	1	0
ENSG00000153187	1	0
ENSG00000143452	0	1
ENSG00000176635	0	1
ENSG00000253293	0	1
ENSG00000005073	1	1
ENSG00000107521	1	0
ENSG00000163755	1	0
ENSG00000100099	1	0
ENSG00000110756	1	0
ENSG00000166189	1	0
ENSG00000168453	1	0
ENSG00000276536	1	0
ENSG00000185122	1	0
ENSG00000025156	0	1
ENSG00000080824	1	1
ENSG00000096384	1	0
ENSG00000133265	0	1
ENSG00000109854	1	0
ENSG00000136273	1	0
ENSG00000188996	1	0
ENSG00000086758	1	0
ENSG00000125968	1	0
ENSG00000142166	1	0
ENSG00000159110	1	0
ENSG00000111537	1	0
ENSG00000282657	1	0
ENSG00000132740	1	0
ENSG00000269335	1	1
ENSG00000185811	1	0
ENSG00000161405	1	0
ENSG00000136634	1	0
ENSG00000168811	1	0
ENSG00000081985	1	0
ENSG00000164136	1	0
ENSG00000127318	1	0
ENSG00000164485	1	0
ENSG00000147168	1	0
ENSG00000134352	1	0
ENSG00000168685	1	0
ENSG00000145839	1	0
ENSG00000153487	1	0
ENSG00000168556	1	0
ENSG00000123999	1	0
ENSG00000148153	1	0
ENSG00000128908	1	0
ENSG00000115274	1	0
ENSG00000153391	1	0
ENSG00000114933	1	0
ENSG00000169592	1	0
ENSG00000168918	1	0
ENSG00000120210	0	1
ENSG00000064102	1	0
ENSG00000143624	1	0
ENSG00000176095	0	1
ENSG00000068745	1	0
ENSG00000114473	0	1
ENSG00000145703	1	0
ENSG00000125347	1	0
ENSG00000140968	1	0
ENSG00000187608	1	0
ENSG00000240682	1	0
ENSG00000005961	1	0
ENSG00000138448	1	0
ENSG00000259207	1	0
ENSG00000171135	1	0
ENSG00000096968	1	0
ENSG00000105639	1	0
ENSG00000152409	1	0
ENSG00000177606	1	0
ENSG00000171223	1	0
ENSG00000172977	1	0
ENSG00000159197	1	0
ENSG00000157542	0	1
ENSG00000004487	1	0
ENSG00000173120	1	0
ENSG00000186280	1	0
ENSG00000147050	1	0
ENSG00000128052	1	0
ENSG00000079616	1	0
ENSG00000151657	1	0
ENSG00000170498	0	1
ENSG00000116014	0	1
ENSG00000157404	1	1
ENSG00000049130	1	1
ENSG00000133116	0	1
ENSG00000105610	1	0
ENSG00000155090	1	0
ENSG00000266265	1	0
ENSG00000136826	1	0
ENSG00000174010	1	0
ENSG00000118058	1	0
ENSG00000110066	1	0
ENSG00000133247	1	0
ENSG00000133703	1	0
ENSG00000001631	1	0
ENSG00000186847	1	0
ENSG00000171403	1	0
ENSG00000116586	1	0
ENSG00000213658	1	0
ENSG00000131023	1	0
ENSG00000182866	1	0
ENSG00000118961	1	0
ENSG00000138795	1	0
ENSG00000131981	1	0
ENSG00000104826	0	1
ENSG00000107187	0	1
ENSG00000105486	1	0
ENSG00000005156	1	0
ENSG00000174405	1	0
ENSG00000131914	1	0
ENSG00000187772	1	0
ENSG00000079435	0	1
ENSG00000160789	0	1
ENSG00000166407	1	0
ENSG00000135363	1	0
ENSG00000136153	1	0
ENSG00000164715	0	1
ENSG00000090006	1	0
ENSG00000012223	1	0
ENSG00000149716	1	0
ENSG00000254087	1	0
ENSG00000143669	1	0
ENSG00000099949	1	0
ENSG00000061337	1	0
ENSG00000268361	1	0
ENSG00000002822	1	0
ENSG00000164109	1	0
ENSG00000116670	1	1
ENSG00000178573	1	0
ENSG00000177383	1	0
ENSG00000168070	0	1
ENSG00000078018	0	1
ENSG00000169032	1	0
ENSG00000126934	1	0
ENSG00000076984	1	0
ENSG00000085511	1	0
ENSG00000142733	1	0
ENSG00000135341	1	0
ENSG00000107968	1	0
ENSG00000100030	1	0
ENSG00000188130	1	0
ENSG00000112062	1	0
ENSG00000274205	1	0
ENSG00000102882	1	0
ENSG00000166484	1	0
ENSG00000107643	1	0
ENSG00000089022	1	0
ENSG00000277140	1	0
ENSG00000120539	1	0
ENSG00000007264	1	0
ENSG00000125952	1	0
ENSG00000071655	1	0
ENSG00000129071	1	0
ENSG00000258839	1	0
ENSG00000166603	1	0
ENSG00000073111	1	0
ENSG00000112118	1	0
ENSG00000104738	1	0
ENSG00000100297	1	0
ENSG00000076003	1	0
ENSG00000166508	1	0
ENSG00000125885	1	1
ENSG00000111877	1	0
ENSG00000178460	1	1
ENSG00000187778	1	0
ENSG00000224587	1	0
ENSG00000135679	1	0
ENSG00000167077	0	1
ENSG00000269964	0	1
ENSG00000197889	0	1
ENSG00000282650	1	1
ENSG00000180336	1	1
ENSG00000133895	1	0
ENSG00000105976	1	0
ENSG00000118855	1	0
ENSG00000168282	0	1
ENSG00000125871	1	0
ENSG00000170430	1	0
ENSG00000240972	1	0
ENSG00000284440	1	0
ENSG00000207971	1	0
ENSG00000272036	1	0
ENSG00000283904	1	0
ENSG00000207568	1	0
ENST0000036213	1	0
ENSG00000283824	1	0
ENSG00000284357	1	0
ENSG00000187098	1	0
ENSG00000076242	1	1
ENSG00000119684	1	1
ENSG00000137673	1	0
ENSG00000118113	1	0
ENSG00000155229	1	0
ENSG00000146263	1	0
ENSG00000020426	1	0
ENSG00000070444	1	0
ENSG00000114487	0	1
ENSG00000133422	0	1
ENSG00000185787	1	0
ENSG00000123562	1	0
ENSG00000172680	1	0
ENSG00000073146	0	1
ENSG00000103152	1	0
ENSG00000117400	1	0
ENSG00000020922	1	1
ENSG00000161010	1	0
ENSG00000095002	1	0
ENSG00000113318	1	0
ENSG00000057468	1	1
ENSG00000233345	1	1
ENSG00000116062	1	0
ENSG00000263639	1	0
ENSG00000147065	1	0
ENSG00000182979	1	0
ENSG00000188786	1	0
ENSG00000198793	1	0
ENSG00000170873	1	0
ENSG00000129422	1	0
ENSG00000278466	1	0
ENSG00000172732	1	0
ENSG00000132781	1	0
ENSG00000119950	1	0
ENSG00000185697	0	1
ENSG00000101057	1	0
ENSG00000136997	1	0
ENSG00000105357	1	0
ENSG00000100345	1	0
ENSG00000197535	1	0
ENSG00000099326	1	0
ENSG00000173559	1	0
ENSG00000139579	1	0
ENSG00000145414	1	0
ENSG00000188425	0	1
ENSG00000187556	0	1
ENSG00000135372	1	0
ENSG00000160796	1	0
ENSG00000104320	1	0
ENSG00000124151	1	0
ENSG00000124160	1	0
ENSG00000162736	1	0
ENSG00000165795	1	0
ENSG00000140398	1	0
ENSG00000154328	1	0
ENSG00000109674	1	0
ENSG00000117650	1	0
ENSG00000151414	1	0
ENSG00000196712	1	0
ENSG00000186575	1	0
ENSG00000101096	1	0
ENSG00000123405	1	0
ENSG00000082641	1	0
ENSG00000116044	1	0
ENSG00000170322	1	0
ENSG00000187736	1	0
ENSG00000177551	0	1
ENSG00000145912	1	0
ENSG00000100503	1	0
ENSG00000164190	1	0
ENSG00000158793	1	0
ENSG00000189134	0	1
ENSG00000136352	1	0
ENSG00000136327	1	0
ENSG00000167034	1	0
ENSG00000142405	1	0
ENSG00000174885	1	0
ENSG00000239672	1	0
ENSG00000112981	0	1
ENSG00000147140	1	0
ENSG00000182117	1	0
ENSG00000105373	1	0
ENSG00000148400	1	0
ENSG00000074181	1	0
ENSG00000234876	1	0
ENSG00000170485	1	0
ENSG00000182446	1	0
ENSG00000181163	1	0
ENSG00000181019	1	0
ENSG00000124588	1	0
ENSG00000169297	1	0
ENSG00000012504	1	0
ENSG00000213281	1	0
ENSG00000115216	1	0
ENSG00000109685	1	0
ENSG00000169189	1	0
ENSG00000156831	1	0
ENSG00000282130	1	0
ENSG00000107672	1	0
ENSG00000065057	1	0
ENSG00000163545	1	0
ENSG00000069275	1	0
ENSG00000106268	1	0
ENSG00000198585	1	0
ENSG00000168101	1	0
ENSG00000143552	0	1
ENSG00000176046	0	1
ENSG00000115758	1	0
ENSG00000114026	1	0
ENSG00000186881	1	0
ENSG00000180934	1	0
ENSG00000183389	1	0
ENSG00000188691	1	0
ENSG00000262784	1	0
ENSG00000167770	1	0
ENSG00000108405	0	1
ENSG00000007168	0	1
ENSG00000280789	1	0
ENSG00000149269	1	0
ENSG00000083093	1	0
ENSG00000125779	0	1
ENSG00000163291	1	0
ENSG00000148498	1	0
ENSG00000227345	1	0
ENSG00000116288	1	0
ENSG00000274829	1	0
ENSG00000143799	1	0
ENSG00000178685	1	0
ENSG00000129484	1	0
ENSG00000041880	1	0
ENSG00000102699	1	0
ENSG00000138496	1	0
ENSG00000185480	1	0
ENSG00000100105	0	1
ENSG00000135903	1	0
ENSG00000196092	1	0
ENSG00000007372	1	0
ENSG00000157212	1	0
ENSG00000148362	1	0
ENSG00000090097	1	0
ENSG00000166803	1	0
ENSG00000132646	1	0
ENSG00000125851	1	0
ENSG00000140479	1	0
ENSG00000102230	1	0
ENSG00000114209	1	0
ENSG00000150593	1	0
ENSG00000134853	1	0
ENSG00000140992	1	0
ENSG00000121892	1	0
ENSG00000083642	1	0
ENSG00000152684	1	0
ENSG00000132326	1	0
ENSG00000112378	1	0
ENSG00000139197	1	0
ENSG00000109132	1	0
ENSG00000105229	1	0
ENSG00000140451	1	0
ENSG00000165195	1	0
ENSG00000121879	1	0
ENSG00000145675	1	0
ENSG00000105647	1	0
ENSG00000137193	1	0
ENSG00000127445	0	1
ENSG00000258724	1	0
ENSG00000275051	0	1
ENSG00000197181	0	1
ENSG00000008710	1	0
ENSG00000135549	1	0
ENSG00000122861	1	0
ENSG00000187091	1	0
ENSG00000124181	1	0
ENSG00000197943	1	0
ENSG00000115896	1	0
ENSG00000179598	0	1
ENSG00000166851	1	0
ENSG00000173846	1	0
ENSG00000142731	0	1
ENSG00000140464	1	0
ENSG00000064933	1	0
ENSG00000122512	1	0
ENSG00000078319	1	0
ENSG00000241350	1	0
ENSG00000278416	1	0
ENSG00000127957	1	0
ENSG00000123965	1	0
ENSG00000039650	1	0
ENSG00000164087	0	1
ENSG00000101868	1	0
ENSG00000014138	1	0
ENSG00000070501	1	0
ENSG00000062822	1	0
ENSG00000106628	1	0
ENSG00000077514	1	0
ENSG00000175482	1	0
ENSG00000177084	1	0
ENSG00000100479	1	0
ENSG00000148229	1	0
ENSG00000115350	1	0
ENSG00000140521	1	1
ENSG00000256525	1	0
ENSG00000170734	1	0
ENSG00000101751	1	0
ENSG00000122008	1	0
ENSG00000166169	1	0
ENSG00000122678	1	0
ENSG00000130997	1	0
ENSG00000051341	1	0
ENSG00000181222	1	0
ENSG00000047315	1	0
ENSG00000102978	1	0
ENSG00000144231	1	0
ENSG00000099817	1	0
ENSG00000100142	1	0
ENSG00000168002	1	0
ENSG00000163882	1	0
ENSG00000105258	1	0
ENSG00000005075	1	0
ENSG00000147669	1	0
ENSG00000177700	1	0
ENSG00000115138	1	0
ENSG00000128513	1	0
ENSG00000112033	1	0
ENSG00000132170	1	0
ENSG00000109819	1	0
ENSG00000084072	1	0
ENSG00000186298	0	1
ENSG00000206489	1	0
ENSG00000105568	1	0
ENSG00000066027	1	0
ENSG00000149923	1	0
ENSG00000163605	1	0
ENSG00000011485	1	0
ENSG00000119414	1	0
ENSG00000057657	0	1
ENSG00000147596	1	0
ENSG00000116731	1	0
ENSG00000164256	1	1
ENSG00000117450	1	0
ENSG00000180644	1	0
ENSG00000198056	1	0
ENSG00000146143	1	0
ENSG00000164306	1	0
ENSG00000108946	1	0
ENSG00000154229	1	0
ENSG00000166501	1	0
ENSG00000126583	1	0
ENSG00000027075	1	0
ENSG00000065675	1	0
ENSG00000253729	1	0
ENSG00000172179	1	0
ENSG00000113494	1	0
ENSG00000198890	1	0
ENSG00000101292	0	1
ENSG00000110107	1	0
ENSG00000242711	1	0
ENSG00000131470	0	1
ENSG00000115233	1	0
ENSG00000068878	1	0
ENSG00000185920	1	0
ENSG00000171862	1	0
ENSG00000110958	1	0
ENSG00000073756	1	0
ENSG00000160801	1	0
ENSG00000179295	1	0
ENSG00000163629	1	0
ENSG00000111679	1	0
ENSG00000149177	1	0
ENSG00000196090	1	0
ENSG00000060656	1	0
ENSG00000164611	1	0
ENSG00000177192	1	0
ENSG00000160953	1	0
ENSG00000254469	1	0
ENSG00000069974	1	0
ENSG00000075785	1	0
ENSG00000136238	1	0
ENSG00000128340	1	0
ENSG00000113456	1	0
ENSG00000276618	1	0
ENSG00000070950	1	0
ENSG00000164754	1	0
ENSG00000244588	1	1
ENSG00000179262	1	0
ENSG00000119318	1	0
ENSG00000113522	1	0
ENSG00000051180	1	0
ENSG00000111247	1	0
ENSG00000182185	1	0
ENSG00000108384	1	0
ENSG00000185379	1	0
ENSG00000002016	1	0
ENSG00000197275	1	0
ENSG00000085999	1	0
ENSG00000172613	1	0
ENSG00000151164	1	0
ENSG00000147231	1	0
ENSG00000101146	1	0
ENSG00000132155	1	0
ENSG00000188559	1	0
ENSG00000099901	0	1
ENSG00000153201	1	0
ENSG00000010017	0	1
ENSG00000173166	1	0
ENSG00000145715	1	0
ENSG00000068028	1	0
ENSG00000266094	1	0
ENSG00000139687	1	0
ENSG00000101773	1	0
ENSG00000162775	1	0
ENSG00000134453	1	0
ENSG00000132819	1	0
ENSG00000003756	0	1
ENSG00000265241	1	0
ENSG00000100387	1	0
ENSG00000135870	1	0
ENSG00000163743	1	0
ENSG00000137710	1	0
ENSG00000100918	1	1
ENSG00000004700	1	0
ENSG00000160957	1	0
ENSG00000108469	1	0
ENSG00000173039	1	0
ENSG00000165731	1	0
ENSG00000163515	1	0
ENSG00000135945	1	0
ENSG00000009413	1	0
ENSG00000148300	1	0
ENSG00000035928	1	0
ENSG00000049541	1	0
ENSG00000133119	1	0
ENSG00000163918	1	0
ENSG00000111445	1	0
ENSG00000168411	1	0
ENSG00000171792	1	0
ENSG00000067560	1	0
ENSG00000143878	1	0
ENSG00000080345	1	0
ENSG00000135249	1	0
ENSG00000178966	1	0
ENSG00000175643	1	0
ENSG00000269900	1	0
ENSG00000104889	1	0
ENSG00000157450	1	0
ENSG00000125352	1	0
ENSG00000134758	1	0
ENSG00000163961	1	0
ENSG00000166439	1	0
ENSG00000132972	0	1
ENSG00000178222	0	1
ENSG00000112130	1	1
ENSG00000169855	1	0
ENSG00000132383	1	0
ENSG00000117748	1	0
ENSG00000106399	1	0
ENSG00000204086	1	0
ENSG00000129197	1	0
ENSG00000142676	1	0
ENSG00000174748	1	0
ENSG00000108298	1	0
ENSG00000161970	1	0
ENSG00000131469	1	0
ENSG00000071082	1	0
ENSG00000182899	1	0
ENSG00000122406	1	0
ENSG00000124614	1	0
ENSG00000278229	1	0
ENSG00000105372	1	0
ENSG00000138326	1	0
ENSG00000197728	1	0
ENSG00000177954	1	0
ENSG00000143947	1	0
ENSG00000233927	1	0
